Entity,Code,Year,Annual CO₂ emissions (per capita)
Albania,ALB,1933,0.007159781
Albania,ALB,1934,0.0070867664
Albania,ALB,1935,0.017536236
Albania,ALB,1936,0.12147333
Albania,ALB,1937,0.27826673
Albania,ALB,1938,0.32309836
Albania,ALB,1939,0.39708453
Albania,ALB,1940,0.62906545
Albania,ALB,1941,0.562687
Albania,ALB,1942,0.66028625
Albania,ALB,1943,0.4049297
Albania,ALB,1944,0.13336176
Albania,ALB,1945,0.10353056
Albania,ALB,1946,0.40916798
Albania,ALB,1947,0.774856
Albania,ALB,1948,0.58099794
Albania,ALB,1949,0.8254675
Albania,ALB,1950,0.23778823
Albania,ALB,1951,0.31572577
Albania,ALB,1952,0.28559908
Albania,ALB,1953,0.30811146
Albania,ALB,1954,0.36341593
Albania,ALB,1955,0.4672824
Albania,ALB,1956,0.5757659
Albania,ALB,1957,1.0051103
Albania,ALB,1958,0.77816045
Albania,ALB,1959,0.90488917
Albania,ALB,1960,1.2260456
Albania,ALB,1961,1.3412603
Albania,ALB,1962,1.4117563
Albania,ALB,1963,1.1615194
Albania,ALB,1964,1.0940837
Albania,ALB,1965,1.1466707
Albania,ALB,1966,1.3074449
Albania,ALB,1967,1.3330656
Albania,ALB,1968,1.483537
Albania,ALB,1969,1.5239673
Albania,ALB,1970,1.7143956
Albania,ALB,1971,1.9454293
Albania,ALB,1972,2.462787
Albania,ALB,1973,2.2551887
Albania,ALB,1974,1.8094172
Albania,ALB,1975,1.8702347
Albania,ALB,1976,1.9705383
Albania,ALB,1977,2.2275932
Albania,ALB,1978,2.4732122
Albania,ALB,1979,2.828372
Albania,ALB,1980,1.8903245
Albania,ALB,1981,2.6302996
Albania,ALB,1982,2.5668557
Albania,ALB,1983,2.626668
Albania,ALB,1984,2.6394625
Albania,ALB,1985,2.6043959
Albania,ALB,1986,2.609769
Albania,ALB,1987,2.3650215
Albania,ALB,1988,2.2811687
Albania,ALB,1989,2.7561808
Albania,ALB,1990,1.6841558
Albania,ALB,1991,1.3069569
Albania,ALB,1992,0.7668275
Albania,ALB,1993,0.71327645
Albania,ALB,1994,0.5884248
Albania,ALB,1995,0.64109856
Albania,ALB,1996,0.62159777
Albania,ALB,1997,0.47776133
Albania,ALB,1998,0.54661566
Albania,ALB,1999,0.9365238
Albania,ALB,2000,0.9553966
Albania,ALB,2001,1.0230992
Albania,ALB,2002,1.1959667
Albania,ALB,2003,1.3801706
Albania,ALB,2004,1.3478987
Albania,ALB,2005,1.385305
Albania,ALB,2006,1.2818637
Albania,ALB,2007,1.3063571
Albania,ALB,2008,1.4691418
Albania,ALB,2009,1.4879525
Albania,ALB,2010,1.6334264
Albania,ALB,2011,1.8254082
Albania,ALB,2012,1.6666856
Albania,ALB,2013,1.8185169
Albania,ALB,2014,2.0661745
Albania,ALB,2015,1.625643
Albania,ALB,2016,1.5984093
Albania,ALB,2017,1.8262929
Albania,ALB,2018,1.6912793
Albania,ALB,2019,1.6731106
Albania,ALB,2020,1.6403989
Albania,ALB,2021,1.8016713
Albania,ALB,2022,1.8295882
Albania,ALB,2023,1.8296235
Andorra,AND,1990,7.729664
Andorra,AND,1991,7.173922
Andorra,AND,1992,6.754085
Andorra,AND,1993,6.483624
Andorra,AND,1994,6.292805
Andorra,AND,1995,6.647752
Andorra,AND,1996,7.0981126
Andorra,AND,1997,7.189753
Andorra,AND,1998,7.507393
Andorra,AND,1999,7.80381
Andorra,AND,2000,7.974552
Andorra,AND,2001,7.953851
Andorra,AND,2002,7.9858103
Andorra,AND,2003,7.696261
Andorra,AND,2004,7.540717
Andorra,AND,2005,7.4286895
Andorra,AND,2006,6.857717
Andorra,AND,2007,6.5764103
Andorra,AND,2008,6.449391
Andorra,AND,2009,6.1570287
Andorra,AND,2010,6.399722
Andorra,AND,2011,6.310664
Andorra,AND,2012,6.34042
Andorra,AND,2013,6.3323584
Andorra,AND,2014,6.2594266
Andorra,AND,2015,6.445522
Andorra,AND,2016,6.496004
Andorra,AND,2017,6.3565416
Andorra,AND,2018,6.6279693
Andorra,AND,2019,6.418742
Andorra,AND,2020,4.9233313
Andorra,AND,2021,5.235955
Andorra,AND,2022,5.2628007
Andorra,AND,2023,5.2415543
Austria,AUT,1807,0.053945992
Austria,AUT,1819,0.075489655
Austria,AUT,1820,0.09901921
Austria,AUT,1821,0.106077276
Austria,AUT,1822,0.10769429
Austria,AUT,1823,0.101810046
Austria,AUT,1824,0.11624328
Austria,AUT,1825,0.11673694
Austria,AUT,1826,0.13200791
Austria,AUT,1827,0.13661791
Austria,AUT,1828,0.13072197
Austria,AUT,1829,0.13528666
Austria,AUT,1830,0.13980326
Austria,AUT,1831,0.13499741
Austria,AUT,1832,0.143566
Austria,AUT,1833,0.11939268
Austria,AUT,1834,0.16247256
Austria,AUT,1835,0.17481326
Austria,AUT,1836,0.1850181
Austria,AUT,1837,0.19311765
Austria,AUT,1838,0.23100474
Austria,AUT,1839,0.2862818
Austria,AUT,1840,0.31430042
Austria,AUT,1841,0.35270458
Austria,AUT,1842,0.3876523
Austria,AUT,1843,0.3349525
Austria,AUT,1844,0.418547
Austria,AUT,1845,0.4695527
Austria,AUT,1846,0.5484367
Austria,AUT,1847,0.5365954
Austria,AUT,1848,0.5981167
Austria,AUT,1849,0.57571006
Austria,AUT,1850,0.58869374
Austria,AUT,1851,0.58663684
Austria,AUT,1852,0.7015607
Austria,AUT,1853,0.7993166
Austria,AUT,1854,0.7820265
Austria,AUT,1855,0.9046697
Austria,AUT,1856,1.0273466
Austria,AUT,1857,1.17477
Austria,AUT,1858,1.7341001
Austria,AUT,1859,1.3946497
Austria,AUT,1860,1.4518162
Austria,AUT,1861,1.496249
Austria,AUT,1862,1.4803985
Austria,AUT,1863,1.360496
Austria,AUT,1864,1.1670947
Austria,AUT,1865,1.2231227
Austria,AUT,1866,0.81592876
Austria,AUT,1867,1.108091
Austria,AUT,1868,1.3602931
Austria,AUT,1869,1.442899
Austria,AUT,1870,1.6263044
Austria,AUT,1871,2.2218096
Austria,AUT,1872,2.1736574
Austria,AUT,1873,2.309749
Austria,AUT,1874,1.9530367
Austria,AUT,1875,1.6621472
Austria,AUT,1876,1.6957643
Austria,AUT,1877,1.5132375
Austria,AUT,1878,1.4907401
Austria,AUT,1879,1.8087848
Austria,AUT,1880,4.7833023
Austria,AUT,1881,2.067934
Austria,AUT,1882,2.1065784
Austria,AUT,1883,2.3169494
Austria,AUT,1884,2.2380025
Austria,AUT,1885,2.3318892
Austria,AUT,1886,2.1814244
Austria,AUT,1887,2.330971
Austria,AUT,1888,2.2532377
Austria,AUT,1889,2.405366
Austria,AUT,1890,2.4127743
Austria,AUT,1891,2.7395053
Austria,AUT,1892,2.6253102
Austria,AUT,1893,3.1798322
Austria,AUT,1894,3.2237446
Austria,AUT,1895,3.5856636
Austria,AUT,1896,3.7107253
Austria,AUT,1897,3.9699893
Austria,AUT,1898,4.17419
Austria,AUT,1899,4.19306
Austria,AUT,1900,4.632106
Austria,AUT,1901,4.693612
Austria,AUT,1902,4.210628
Austria,AUT,1903,4.16844
Austria,AUT,1904,4.368451
Austria,AUT,1905,4.546499
Austria,AUT,1906,5.3763876
Austria,AUT,1907,6.6482067
Austria,AUT,1908,9.252338
Austria,AUT,1909,6.675106
Austria,AUT,1910,8.945361
Austria,AUT,1911,7.4583454
Austria,AUT,1912,7.843966
Austria,AUT,1913,9.276998
Austria,AUT,1914,7.571848
Austria,AUT,1915,5.402496
Austria,AUT,1916,1.3923472
Austria,AUT,1917,0.530146
Austria,AUT,1918,0.5139487
Austria,AUT,1919,0.46488458
Austria,AUT,1920,2.2398405
Austria,AUT,1921,2.9782135
Austria,AUT,1922,2.85594
Austria,AUT,1923,2.7220185
Austria,AUT,1924,3.0658693
Austria,AUT,1925,2.8875096
Austria,AUT,1926,2.8213882
Austria,AUT,1927,3.038398
Austria,AUT,1928,3.188491
Austria,AUT,1929,3.626882
Austria,AUT,1930,2.8240275
Austria,AUT,1931,2.7058377
Austria,AUT,1932,2.2655272
Austria,AUT,1933,2.124288
Austria,AUT,1934,2.0525193
Austria,AUT,1935,2.0769851
Austria,AUT,1936,2.027152
Austria,AUT,1937,2.2750432
Austria,AUT,1938,0.86247826
Austria,AUT,1939,0.9434641
Austria,AUT,1940,1.0917801
Austria,AUT,1941,1.1829128
Austria,AUT,1942,1.2643101
Austria,AUT,1943,1.4172183
Austria,AUT,1944,1.3800573
Austria,AUT,1945,0.6681169
Austria,AUT,1946,1.8625914
Austria,AUT,1947,2.5647802
Austria,AUT,1948,3.5503542
Austria,AUT,1949,3.84133
Austria,AUT,1950,3.0122387
Austria,AUT,1951,3.3567767
Austria,AUT,1952,3.1859643
Austria,AUT,1953,3.132471
Austria,AUT,1954,3.5311196
Austria,AUT,1955,4.1847425
Austria,AUT,1956,4.056948
Austria,AUT,1957,4.188844
Austria,AUT,1958,4.0196743
Austria,AUT,1959,3.979018
Austria,AUT,1960,4.368282
Austria,AUT,1961,4.491077
Austria,AUT,1962,4.749927
Austria,AUT,1963,5.1493344
Austria,AUT,1964,5.3847876
Austria,AUT,1965,5.245995
Austria,AUT,1966,5.3552513
Austria,AUT,1967,5.411332
Austria,AUT,1968,5.704553
Austria,AUT,1969,5.9995375
Austria,AUT,1970,6.7813454
Austria,AUT,1971,6.9428835
Austria,AUT,1972,7.433277
Austria,AUT,1973,7.9122844
Austria,AUT,1974,7.540727
Austria,AUT,1975,7.1542473
Austria,AUT,1976,7.694378
Austria,AUT,1977,7.399397
Austria,AUT,1978,7.568435
Austria,AUT,1979,8.123811
Austria,AUT,1980,6.8921757
Austria,AUT,1981,7.377935
Austria,AUT,1982,7.0731206
Austria,AUT,1983,6.8333693
Austria,AUT,1984,7.1704917
Austria,AUT,1985,7.187214
Austria,AUT,1986,7.098126
Austria,AUT,1987,7.5748
Austria,AUT,1988,6.978879
Austria,AUT,1989,7.0463815
Austria,AUT,1990,8.097257
Austria,AUT,1991,8.480238
Austria,AUT,1992,7.686483
Austria,AUT,1993,7.6773853
Austria,AUT,1994,7.694905
Austria,AUT,1995,8.05763
Austria,AUT,1996,8.467018
Austria,AUT,1997,8.444604
Austria,AUT,1998,8.389675
Austria,AUT,1999,8.214744
Austria,AUT,2000,8.25879
Austria,AUT,2001,8.724641
Austria,AUT,2002,8.905298
Austria,AUT,2003,9.528478
Austria,AUT,2004,9.50555
Austria,AUT,2005,9.611116
Austria,AUT,2006,9.288097
Austria,AUT,2007,8.932471
Austria,AUT,2008,8.8294735
Austria,AUT,2009,8.065431
Austria,AUT,2010,8.608196
Austria,AUT,2011,8.328273
Austria,AUT,2012,7.9788394
Austria,AUT,2013,7.9900355
Austria,AUT,2014,7.5066957
Austria,AUT,2015,7.676675
Austria,AUT,2016,7.692596
Austria,AUT,2017,7.9100146
Austria,AUT,2018,7.5281963
Austria,AUT,2019,7.6508217
Austria,AUT,2020,6.9692774
Austria,AUT,2021,7.3332305
Austria,AUT,2022,6.7833743
Austria,AUT,2023,6.4156914
Belarus,BLR,1830,0.00019801912
Belarus,BLR,1831,0.00023538538
Belarus,BLR,1832,0.00015524299
Belarus,BLR,1833,0.00019266624
Belarus,BLR,1850,0.0010216836
Belarus,BLR,1855,0.0029539256
Belarus,BLR,1858,0.0040313536
Belarus,BLR,1859,0.00423522
Belarus,BLR,1860,0.005543653
Belarus,BLR,1861,0.006975164
Belarus,BLR,1862,0.006232673
Belarus,BLR,1863,0.0064648213
Belarus,BLR,1864,0.007182462
Belarus,BLR,1865,0.0068001417
Belarus,BLR,1866,0.021282611
Belarus,BLR,1867,0.024192566
Belarus,BLR,1868,0.019936943
Belarus,BLR,1869,0.026789205
Belarus,BLR,1870,0.028796772
Belarus,BLR,1871,0.038508523
Belarus,BLR,1872,0.039159447
Belarus,BLR,1873,0.036405537
Belarus,BLR,1874,0.04377084
Belarus,BLR,1875,0.04990258
Belarus,BLR,1876,0.061369147
Belarus,BLR,1877,0.062036622
