Entity,Code,Year,Population density
Albania,ALB,-10000,0.043759122
Albania,ALB,-9000,0.072956204
Albania,ALB,-8000,0.121605836
Albania,ALB,-7000,0.20270073
Albania,ALB,-6000,0.33781022
Albania,ALB,-5000,0.5630657
Albania,ALB,-4000,0.93843067
Albania,ALB,-3000,1.5640512
Albania,ALB,-2000,2.6067884
Albania,ALB,-1000,4.344635
Albania,ALB,0,7.2410583
Albania,ALB,100,7.248321
Albania,ALB,200,7.255584
Albania,ALB,300,7.262847
Albania,ALB,400,7.2701097
Albania,ALB,500,7.2773724
Albania,ALB,600,7.2846713
Albania,ALB,700,7.2919707
Albania,ALB,800,7.29927
Albania,ALB,900,7.29927
Albania,ALB,1000,7.29927
Albania,ALB,1100,7.29927
Albania,ALB,1200,7.29927
Albania,ALB,1300,7.29927
Albania,ALB,1400,7.29927
Albania,ALB,1500,7.29927
Albania,ALB,1600,7.29927
Albania,ALB,1700,10.948905
Albania,ALB,1710,11.365547
Albania,ALB,1720,11.782227
Albania,ALB,1730,12.198905
Albania,ALB,1740,12.615547
Albania,ALB,1750,13.032227
Albania,ALB,1760,13.448905
Albania,ALB,1770,13.865547
Albania,ALB,1780,14.282227
Albania,ALB,1790,14.698905
Albania,ALB,1800,14.59854
Albania,ALB,1801,14.663248
Albania,ALB,1802,14.728249
Albania,ALB,1803,14.79354
Albania,ALB,1804,14.859124
Albania,ALB,1805,14.925
Albania,ALB,1806,14.991168
Albania,ALB,1807,15.057628
Albania,ALB,1808,15.124379
Albania,ALB,1809,15.19146
Albania,ALB,1810,15.259088
Albania,ALB,1811,15.326752
Albania,ALB,1812,15.394671
Albania,ALB,1813,15.462919
Albania,ALB,1814,15.531496
Albania,ALB,1815,15.600328
Albania,ALB,1816,15.669489
Albania,ALB,1817,15.738978
Albania,ALB,1818,15.8087225
Albania,ALB,1819,15.879051
Albania,ALB,1820,15.949854
Albania,ALB,1821,16.021204
Albania,ALB,1822,16.093065
Albania,ALB,1823,16.165474
Albania,ALB,1824,16.238213
Albania,ALB,1825,16.311277
Albania,ALB,1826,16.384672
Albania,ALB,1827,16.458357
Albania,ALB,1828,16.53241
Albania,ALB,1829,16.606825
Albania,ALB,1830,16.681532
Albania,ALB,1831,16.756569
Albania,ALB,1832,16.83197
Albania,ALB,1833,16.907701
Albania,ALB,1834,16.983795
Albania,ALB,1835,17.060183
Albania,ALB,1836,17.136934
Albania,ALB,1837,17.21405
Albania,ALB,1838,17.291496
Albania,ALB,1839,17.369307
Albania,ALB,1840,17.447445
Albania,ALB,1841,17.52595
Albania,ALB,1842,17.604818
Albania,ALB,1843,17.684015
Albania,ALB,1844,17.763577
Albania,ALB,1845,17.843504
Albania,ALB,1846,17.923796
Albania,ALB,1847,18.004416
Albania,ALB,1848,18.085438
Albania,ALB,1849,18.184708
Albania,ALB,1850,18.302555
Albania,ALB,1851,18.44208
Albania,ALB,1852,18.600693
Albania,ALB,1853,18.778687
Albania,ALB,1854,18.958395
Albania,ALB,1855,19.139782
Albania,ALB,1856,19.322956
Albania,ALB,1857,19.507847
Albania,ALB,1858,19.694489
Albania,ALB,1859,19.882956
Albania,ALB,1860,20.073212
Albania,ALB,1861,20.265291
Albania,ALB,1862,20.459198
Albania,ALB,1863,20.654964
Albania,ALB,1864,20.85259
Albania,ALB,1865,21.052116
Albania,ALB,1866,21.253576
Albania,ALB,1867,21.456934
Albania,ALB,1868,21.662262
Albania,ALB,1869,21.86916
Albania,ALB,1870,22.077663
Albania,ALB,1871,22.287773
Albania,ALB,1872,22.499525
Albania,ALB,1873,22.712883
Albania,ALB,1874,22.928286
Albania,ALB,1875,23.14573
Albania,ALB,1876,23.365255
Albania,ALB,1877,23.586824
Albania,ALB,1878,23.81051
Albania,ALB,1879,24.03635
Albania,ALB,1880,24.264307
Albania,ALB,1881,24.494415
Albania,ALB,1882,24.726679
Albania,ALB,1883,24.961205
Albania,ALB,1884,25.19792
Albania,ALB,1885,25.436861
Albania,ALB,1886,25.678102
Albania,ALB,1887,25.921606
Albania,ALB,1888,26.167446
Albania,ALB,1889,26.417883
